Source,Time,Target,Weight,TargetLocation
594308,2025-05-05 01:00:00,509607,1.0,4.0
483784,2025-06-18 01:00:00,561157,-1.0,0.0
483784,2025-06-18 01:00:00,561157,-1.0,0.0
483784,2025-06-18 01:00:00,561157,-1.0,0.0
483784,2025-06-18 01:00:00,561157,-1.0,0.0
483784,2025-06-18 01:00:00,561157,-1.0,0.0
619322,2025-06-23 01:00:00,625756,-1.0,3.0
619322,2025-06-23 01:00:00,625756,-1.0,3.0
619322,2025-06-23 01:00:00,625756,-1.0,3.0
619322,2025-06-23 01:00:00,625756,-1.0,3.0
619322,2025-06-23 01:00:00,625756,-1.0,3.0
483784,2025-06-25 01:00:00,561157,-1.0,0.0
483784,2025-06-25 01:00:00,561157,-1.0,0.0
483784,2025-06-25 01:00:00,561157,-1.0,0.0
483784,2025-06-25 01:00:00,561157,-1.0,0.0
483784,2025-06-25 01:00:00,561157,-1.0,0.0
477657,2025-06-25 01:00:00,616453,1.0,5.0
477657,2025-06-25 01:00:00,616453,1.0,5.0
477657,2025-06-25 01:00:00,616453,1.0,5.0
477657,2025-06-25 01:00:00,616453,1.0,5.0
477657,2025-06-25 01:00:00,616453,1.0,5.0
477657,2025-07-18 01:00:00,499467,5.0,2.0
477657,2025-07-18 01:00:00,499467,5.0,2.0
477657,2025-07-18 01:00:00,499467,5.0,2.0
477657,2025-07-18 01:00:00,499467,5.0,2.0
477657,2025-07-18 01:00:00,499467,5.0,2.0
619322,2025-09-03 01:00:00,657173,3.0,1.0
619322,2025-09-03 01:00:00,657173,3.0,1.0
619322,2025-09-03 01:00:00,657173,3.0,1.0
619322,2025-09-03 01:00:00,657173,3.0,1.0
619322,2025-09-03 01:00:00,657173,3.0,1.0
594308,2025-10-01 01:00:00,561157,4.0,0.0
594308,2025-10-01 01:00:00,561157,4.0,0.0
594308,2025-10-01 01:00:00,561157,4.0,0.0
594308,2025-10-01 01:00:00,561157,4.0,0.0
594308,2025-10-01 01:00:00,561157,4.0,0.0
483784,2025-10-07 01:00:00,561157,-1.0,0.0
483784,2025-10-07 01:00:00,561157,-1.0,0.0
483784,2025-10-07 01:00:00,561157,-1.0,0.0
483784,2025-10-07 01:00:00,561157,-1.0,0.0
483784,2025-10-07 01:00:00,561157,-1.0,0.0
594308,2025-10-14 01:00:00,509607,1.0,4.0
594308,2025-10-14 01:00:00,509607,1.0,4.0
594308,2025-10-14 01:00:00,509607,1.0,4.0
594308,2025-10-14 01:00:00,509607,1.0,4.0
594308,2025-10-14 01:00:00,509607,1.0,4.0
477657,2025-10-29 00:00:00,561157,1.0,0.0
477657,2025-10-29 00:00:00,561157,1.0,0.0
477657,2025-10-29 00:00:00,561157,1.0,0.0
477657,2025-10-29 00:00:00,561157,1.0,0.0
477657,2025-10-29 00:00:00,561157,1.0,0.0
573137,2025-11-28 00:00:00,616453,0.0,5.0
573137,2025-11-28 00:00:00,616453,0.0,5.0
573137,2025-11-28 00:00:00,616453,0.0,5.0
573137,2025-11-28 00:00:00,616453,0.0,5.0
573137,2025-11-28 00:00:00,616453,0.0,5.0
573137,2025-11-29 00:00:00,509607,-1.0,4.0
573137,2025-11-29 00:00:00,509607,-1.0,4.0
573137,2025-11-29 00:00:00,509607,-1.0,4.0
573137,2025-11-29 00:00:00,509607,-1.0,4.0
573137,2025-11-29 00:00:00,509607,-1.0,4.0
