Source,Target,Weight
592414,Household operations,1882.53
592414,Miscellaneous,2522.31
592414,Reading,243.81
592414,Household furnishings,725.17
575704,Alcohol,749.74
575704,Water and other public services,2391.69
575704,Groceries,4273.66
575704,Entertainment,196.03
575704,Lodging away from home,9784.56
575704,Housekeeping supplies,1557.66
575704,Restaurants,1911.13
575704,Telephone services,693.04
575704,Donations,4613.15
575704,Miscellaneous,2660.68
575704,Personal care products and services,849.79
575704,Household furnishings,3479.68
575704,Personal taxes,2255.94
654981,Personal insurance and pensions,1787.56
654981,Alcohol,558.05
654981,Water and other public services,1805.45
654981,Groceries,1269.47
654981,Electricity,655.88
654981,Education,5306.54
654981,Housekeeping supplies,244.2
654981,Restaurants,2434.08
654981,Telephone services,386.83
654981,Donations,986.55
654981,Miscellaneous,586.73
654981,Reading,499.85
654981,Personal care products and services,620.87
654981,Household furnishings,732.43
654981,Personal taxes,2151.07
575859,Personal insurance and pensions,477.89
575859,Alcohol,132.1
575859,Water and other public services,766.88
575859,Groceries,366.2
575859,Lodging away from home,1168.58
575859,Housekeeping supplies,2274.47
575859,Restaurants,976.38
575859,Telephone services,779.37
575859,Donations,2474.64
575859,Miscellaneous,183.4
575859,Household furnishings,440.95
575859,Personal taxes,1543.6
575859,Transportation,9070.65
575859,Mortgage payments,1296.75
640464,Personal insurance and pensions,3406.61
640464,Alcohol,493.08
640464,Water and other public services,2318.11
640464,Groceries,5720.56
640464,Electricity,1136.42
640464,Lodging away from home,162.29
640464,Education,7905.27
640464,Housekeeping supplies,20.21
640464,Restaurants,899.28
640464,Telephone services,129.52
640464,Donations,1315.33
640464,Apparel and services,4161.23
640464,Reading,426.58
640464,Personal care products and services,422.5
640464,Household furnishings,1259.0
640464,Mortgage payments,3780.69
505722,Natural gas,4118.47
505722,Rented dwellings,34840.3
505722,Personal insurance and pensions,62750.4
505722,Alcohol,238.75
505722,Water and other public services,1721.87
505722,Groceries,6060.91
505722,Electricity,4593.29
505722,Lodging away from home,20056.8
505722,Housekeeping supplies,1137.66
505722,Telephone services,3425.98
505722,Donations,11587.2
505722,Apparel and services,14641.3
505722,Household operations,11493.8
505722,Miscellaneous,12163.6
505722,Household furnishings,8086.96
505722,Personal taxes,9231.82
505722,Mortgage payments,9236.96
517273,Rented dwellings,18476.7
517273,Alcohol,461.18
517273,Water and other public services,1589.03
517273,Groceries,18128.6
517273,Electricity,3709.53
517273,Lodging away from home,6858.84
517273,Education,8669.64
517273,Restaurants,1775.55
517273,Telephone services,286.56
517273,Donations,8511.84
517273,Apparel and services,5037.65
517273,Household operations,3021.52
517273,Miscellaneous,5355.92
517273,Reading,436.23
517273,Personal care products and services,2229.71
517273,Household furnishings,1112.61
517273,Personal taxes,20241.9
517273,Transportation,14630.5
517273,Mortgage payments,1370.28
492286,Rented dwellings,12542.5
492286,Personal insurance and pensions,14538.3
492286,Alcohol,883.83
492286,Water and other public services,1166.8
492286,Groceries,2904.37
492286,Electricity,1376.82
492286,Housekeeping supplies,598.14
492286,Restaurants,5422.26
492286,Donations,5061.07
492286,Apparel and services,7666.8
492286,Household operations,905.48
492286,Miscellaneous,4242.92
492286,Reading,260.88
492286,Personal care products and services,1609.83
492286,Household furnishings,794.47
492286,Personal taxes,15251.0
492286,Transportation,39657.7
492286,Mortgage payments,72.49
636961,Natural gas,1323.6
636961,Rented dwellings,3939.83
636961,Personal insurance and pensions,2846.66
636961,Alcohol,884.99
636961,Water and other public services,2423.74
636961,Groceries,375.3
636961,Electricity,587.83
636961,Lodging away from home,0.46
636961,Education,450.03
636961,Housekeeping supplies,274.65
636961,Restaurants,3215.16
636961,Telephone services,76.17
636961,Donations,917.55
636961,Household operations,5236.45
636961,Miscellaneous,2976.51
636961,Reading,559.3
636961,Household furnishings,410.44
636961,Mortgage payments,2524.68
570411,Rented dwellings,15868.4
570411,Home maintenance,5580.8
570411,Healthcare,5688.59
570411,Personal insurance and pensions,17179.0
570411,Alcohol,574.26
570411,Water and other public services,1991.54
570411,Groceries,2665.72
570411,Electricity,690.53
570411,Education,1689.51
570411,Telephone services,1317.79
570411,Donations,3426.73
570411,Miscellaneous,2200.13
570411,Reading,578.66
570411,Property taxes,4046.65
570411,Household furnishings,985.43
570411,Personal taxes,12330.7
570411,Transportation,5599.51
570411,Mortgage payments,2276.97
623295,Personal insurance and pensions,699.55
623295,Alcohol,182.71
623295,Water and other public services,216.96
623295,Groceries,785.52
623295,Electricity,656.77
623295,Lodging away from home,1949.02
623295,Education,325.56
623295,Housekeeping supplies,691.26
623295,Restaurants,1906.6
623295,Donations,802.67
623295,Miscellaneous,1189.79
623295,Household furnishings,1553.68
623295,Personal taxes,1131.2
623295,Mortgage payments,1099.51
492777,Rented dwellings,2838.79
492777,Personal insurance and pensions,1073.08
492777,Alcohol,124.26
492777,Water and other public services,360.75
492777,Groceries,611.56
492777,Electricity,128.47
492777,Lodging away from home,1598.66
492777,Telephone services,185.63
492777,Apparel and services,535.22
492777,Household operations,815.28
492777,Miscellaneous,1619.79
492777,Reading,146.65
492777,Personal care products and services,147.32
492777,Household furnishings,1461.98
492777,Transportation,6491.57
492777,Mortgage payments,1518.45
629717,Rented dwellings,4249.15
629717,Personal insurance and pensions,2015.43
629717,Alcohol,73.2
629717,Water and other public services,889.2
629717,Groceries,2575.65
629717,Electricity,312.96
629717,Lodging away from home,2726.24
629717,Education,1563.82
629717,Restaurants,654.51
629717,Telephone services,245.42
629717,Apparel and services,2484.21
629717,Household operations,192.93
629717,Miscellaneous,1856.92
629717,Personal care products and services,281.98
629717,Household furnishings,478.91
629717,Personal taxes,843.46
629717,Transportation,4168.46
629717,Mortgage payments,296.54
502591,Rented dwellings,4144.78
502591,Home maintenance,1101.4
502591,Healthcare,4874.08
502591,Personal insurance and pensions,536.87
502591,Alcohol,768.82
502591,Water and other public services,382.45
502591,Groceries,4093.29
502591,Electricity,631.99
502591,Education,1369.2
502591,Housekeeping supplies,1399.54
502591,Restaurants,266.52
502591,Donations,2099.77
502591,Apparel and services,2810.98
502591,Miscellaneous,5503.51
502591,Reading,218.21
502591,Property taxes,814.8
502591,Personal care products and services,488.63
502591,Household furnishings,669.18
502591,Personal taxes,9247.45
502591,Mortgage payments,2572.76
569820,Tobacco,273.24
569820,Rented dwellings,8464.39
569820,Personal insurance and pensions,2942.39
569820,Alcohol,87.4
569820,Water and other public services,629.72
569820,Groceries,3574.6
569820,Electricity,808.95
569820,Entertainment,534.52
569820,Lodging away from home,5383.92
569820,Housekeeping supplies,647.27
569820,Restaurants,3093.55
569820,Telephone services,2682.75
569820,Donations,2875.99
569820,Household operations,1345.06
569820,Miscellaneous,3718.44
569820,Reading,604.29
569820,Personal care products and services,1512.55
569820,Household furnishings,97.31
569820,Personal taxes,73919.0
569820,Transportation,7133.86
569820,Mortgage payments,6704.79
591682,Tobacco,1502.74
591682,Rented dwellings,5662.73
591682,Home maintenance,678.13
591682,Healthcare,986.71
591682,Alcohol,218.03
591682,Water and other public services,622.49
591682,Groceries,3245.92
591682,Electricity,946.77
591682,Lodging away from home,1180.7
591682,Housekeeping supplies,712.92
591682,Restaurants,2053.41
591682,Telephone services,220.8
591682,Donations,2019.74
591682,Apparel and services,943.81
591682,Household operations,599.59
591682,Property taxes,1694.31
591682,Personal care products and services,806.75
591682,Household furnishings,2644.97
591682,Personal taxes,6090.91
591682,Transportation,4091.49
591682,Mortgage payments,137.73
632150,Rented dwellings,4811.33
632150,Alcohol,303.25
632150,Water and other public services,790.06
632150,Groceries,1224.3
632150,Electricity,658.42
632150,Lodging away from home,2231.39
632150,Restaurants,1608.67
632150,Telephone services,915.47
632150,Donations,1996.2
632150,Apparel and services,1118.52
632150,Miscellaneous,822.59
632150,Household furnishings,1302.15
632150,Personal taxes,3720.79
632150,Mortgage payments,803.32
616050,Rented dwellings,6218.94
616050,Home maintenance,540.85
616050,Personal insurance and pensions,9865.87
616050,Alcohol,142.08
616050,Water and other public services,510.26
616050,Groceries,3407.94
616050,Electricity,824.91
616050,Lodging away from home,2521.46
616050,Restaurants,1136.81
616050,Donations,4913.07
616050,Miscellaneous,2707.57
616050,Property taxes,1036.27
616050,Personal care products and services,360.95
616050,Household furnishings,821.76
616050,Personal taxes,8076.13
616050,Transportation,7832.08
616050,Mortgage payments,1670.72
533140,Rented dwellings,3150.22
533140,Personal insurance and pensions,534.56
533140,Alcohol,96.46
533140,Water and other public services,279.66
533140,Groceries,1314.31
533140,Electricity,507.01
533140,Education,530.6
533140,Housekeeping supplies,497.08
533140,Apparel and services,239.94
533140,Household operations,1131.24
533140,Miscellaneous,1741.49
533140,Reading,85.16
533140,Personal care products and services,290.73
533140,Household furnishings,1516.94
533140,Personal taxes,333.78
